"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Ethiopia","EP",234,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,10,10,7,7,7,7,10.6673547876596,10.1251328370297,9.60192614669322,9.09977106280019,8.62976710893469,8.16971375470013,7.73193295482024,7.31560109053345,6.91989033252449,6.54397614411675
"Fiji","FJ",241,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",15,15,15,17,75,75,75,76,80,85.5319979035657,88.9329145523808,91.65130819113,93.901294183915,95.5833386239936,96.9000044251759,97.9108084295886,98.6658957043049,99.2075787904408,99.5732576626886
"Finland","FI",240,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",65.11,79.14,95,99.9,99.9,99.9,99.9,99.9,99.9,94.4543751964166,94.4777056792519,94.5009449357079,94.5240932750626,94.5471510059404,94.5701184363095,94.5929958734801,94.6157836241021,94.6384819941632,94.6610912889873
"France","FR",243,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",20,63,74,80,90,98,99,99,99,96.9595651417334,97.781930526705,98.4049951895363,98.8766988577001,99.6865337413843,99.7982649163856,99.8783060920091,99.9323144861405,99.965987265381,99.9849346559798
"Georgia","GG",248,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",8.86,8.86,20,82,91.99,99.72,99.72,99.72,99.72,98.6471098558633,99.3979937872578,99.7922227449108,99.9528780074167,99.9986366020762,99.9999662480593,99.9999998598625,99.9999999999594,100,100
"Germany","DE",212,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",53,67,92.1,95.7,96.2,96.2,98.2,98.6,99.8,95.6719119630989,95.8523686143032,96.0211275507747,96.1798031631365,96.6499353559083,96.7518019548997,96.8511106817049,96.9479180571109,97.0422795385665,97.1342495238822
"Ghana","GH",249,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,23,34.86,34.86,34.86,67.65,67.65,76.5747572975649,83.8778809331964,89.3203027474485,93.0450807145987,95.6731177127635,97.391760812228,98.4933709447665,99.1853304771573,99.6056599031252,99.8426483233828
"Greece","GR",254,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",35.13,55,55,83,93,98,98.8,98.8,98.8,94.9057089358429,95.5963852621915,96.1991321037387,96.7241887072323,97.1808426519966,97.5774534523454,97.9214963206711,98.2196187298475,98.4777041209436,98.700938546606
"Guatemala","GT",255,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,20.7,40.35,40.35,40.35,40.35,40.35,53.972009828544,58.9873358411286,63.8266285286214,68.4070477617149,72.6641250194578,76.5541618387878,80.0540958108526,83.1593543876202,85.8804446196018,88.2390313917391
"Hong Kong, China","HK",259,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",91.67,95,95,99,99,99,99,99,99,95.1517203595566,95.5793696450908,95.9713494436984,96.3303650969947,96.6589624856448,96.959529263745,97.2342978603168,97.4853498571582,97.7146214067728,97.9239094046404
"Hungary","HU",261,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",27,38,78.3,97.3,98,99,99.2,99.2,99.2,96.3935910499364,96.9982871208667,97.4993900626997,99.0558989121018,99.1783916622785,99.2892616862122,99.3892191697434,99.4789318616017,99.5590318597128,99.630122553028
"Iceland","IC",262,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",67.7,67.7,89,93,95.5,98.2,98.2,98.9,99.98,94.9278160918403,95.460680351775,95.931966897655,96.3502365210925,97.136253632119,97.3926883108639,97.6268687426749,97.8406301059709,98.0356727401496,98.213569149454
"India","IN",265,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",2,2,2,4,73.5,88,94,97.92,98.45,96.1800018070905,97.1323746825847,97.5480357001582,97.7639053743518,97.8789592326805,98.1744697751159,98.1624650214747,98.1484825861179,98.1328390017269,98.1157754415287
"Indonesia","ID",263,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",5,5,10,5,22.6,90.42,97.59,97.59,96.1,80.2932157537506,63.9221502073865,39.0256655790927,16.8945127740015,5.13691250208732,1.26083495993228,0.0404982559000785,9.4757134143647e-07,8.92622697094202e-23,9.62153871076957e-79
"Ireland","IE",264,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",40,40,87,90,90,90,90,90,90,95.502370025429,98.2507209821844,99.5047806970759,99.9354925041177,99.9926099850564,99.9999911300655,99.999999999997,100,100,100
"Israel","IS",272,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",60,60,60,60,70,82,90,94,97,93.0533508194717,94.3360642365511,95.2859714736411,96.0065433698425,99.3093047779142,99.2956366310353,99.2817082134544,99.2675146485787,99.2530509712903,99.2383121264555
