"Country","CountryCode","CountryCodeID","ProductID","ProductName","Unit","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Greece","GR",254,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",35.13,55,55,83,93,98,98.8,98.8,98.8,98.2354296464107,100.048092748997,102.941690055447,98.7498076502747,99.3052524538361,100.961128065794,103.720314094346,99.4130789235508,99.8701901262155,101.442080418078
"Guatemala","GT",255,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",10,10,10,20.7,40.35,40.35,40.35,40.35,40.35,43.8181400585943,41.7354154658411,39.4039375757392,46.7923567396116,44.5268337785407,42.133522407151,39.6271994327674,46.9172478626388,44.5967710937469,42.1726748005624
"Hong Kong, China","HK",259,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",91.67,95,95,99,99,99,99,99,99,99.9246642166782,101.017398103017,102.241167855298,100.492516822587,101.451233556367,102.54128606065,103.762200301043,102.010512425125,102.966028990252,104.052711422171
"Hungary","HU",261,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",27,38,78.3,97.3,98,99,99.2,99.2,99.2,96.6984249847565,96.7911694227807,98.0608999699646,92.3081646144058,91.7487176336608,92.3213534828919,94.0252824984131,92.3081656398291,91.748717810143,92.3213535132655
"Iceland","IC",262,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",67.7,67.7,89,93,95.5,98.2,98.2,98.9,99.98,101.112550373767,101.425654336413,100.405902166247,101.341514761867,105.744757770502,105.590441286478,104.153996285892,104.715014372191,105.825248449709,105.656151890205
"India","IN",265,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",2,2,2,4,73.5,88,94,97.92,98.45,118.745535466739,115.009908367951,108.626630156591,136.061508537105,128.778762634445,122.490892373049,113.632936804903,139.611578886369,131.454067316683,122.920446862487
"Indonesia","ID",263,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",5,5,10,5,22.6,90.42,97.59,97.59,96.1,113.892412527656,119.530971448715,123.678089797921,130.905809383929,135.852206685642,141.874064988443,145.843749690869,153.443555374861,158.888035898785,163.779078986965
"Ireland","IE",264,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",40,40,87,90,90,90,90,90,90,86.1159576657677,86.2095187507134,86.5596040139423,85.6078099258376,83.6279407173073,83.8852999589849,84.4260430018641,83.66621811663,83.6342753529987,83.8880815302719
"Israel","IS",272,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",60,60,60,60,70,82,90,94,97,105.155632107746,109.937875419944,112.823009698018,114.658251093725,151.353624898868,151.47657378146,150.182088990622,148.237163561664,149.779814636041,149.905647637638
"Italy","IT",273,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",7.09,49,90,93,96,98,99,100,100,98.9702879262498,99.1736831995411,98.5541736123338,97.9447697996917,98.9702908680664,99.1736835390914,98.554173651527,97.944769804178,98.9702908685852,99.1736835391497
"Japan","JP",276,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",84,98.7,99,99,99,99,99.9,99.9,99.9,99.6840706923924,99.6926812849415,99.4594810660766,99.4330606196809,99.6840707182503,99.6926812876405,99.4594810663608,99.4330606197083,99.6840707182543,99.6926812876433
"Jordan","JO",275,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",80,80,80,NA,87,90,99,99,99,106.858680431037,110.505132279651,111.730137872199,114.070629303094,118.985417662786,121.80797576796,122.164671172827,123.616572810505,127.987414797028,129.919980242166
"Kazakhstan","KK",279,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",2.67,25.86,43.3,65.5,69,72.9,75.3,75.7,81.3,85.4921539770429,90.0437502159282,93.9698544920254,84.027061674044,87.6474475678406,91.0850069509638,94.3387958626549,82.7979313086795,86.3721820377455,89.7734351249338
"Kenya","KY",283,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,7,21.5,25,35,57,77,87.462975121311,95.856957269759,103.368786334475,112.251041579125,109.56586114204,108.787326544838,110.563065754132,116.164019603726,111.513771793282,109.821247142141
"Kuwait","KW",282,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",95,96.6,96.6,96.6,99,99.6,100,100,100,101.838596209146,102.188012679014,101.795047290483,103.090639518258,104.173569559645,104.512168196431,104.107785896116,105.391340956393,106.461692425822,106.787152552008
"Kyrgyzstan","KZ",284,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0.5,0.5,0.5,1.6,40,50,70,85,85,88.5084414927011,86.3815400274179,84.2424682978528,91.90197419486,89.0299429224522,86.3549557143153,84.1046349664054,91.7531286028439,88.8447918760581,86.2930246360024
"Laos","AO",166,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",2,2,2,5,7,9,43,43,43,53.9019739927882,61.4551448743233,67.3266555682007,58.6543790764015,62.8178146153423,66.8442212591295,70.4490743154343,60.3826521232819,63.9150558022442,67.4085888095516
"Latvia","LA",285,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",26.67,38.64,75,90,95,95,95,95,95,93.0047123056045,92.8819449420805,93.4688261912319,92.7810675419132,92.0488743791061,92.0184007538241,92.6889735631064,92.7810735253856,92.0488756085002,92.0184010064192
"Lebanon","LB",286,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",29.28,29.28,55,48,61.72,97.88,98.2,99,99.2,106.399053220521,108.495915717402,108.538956325619,105.861871093489,108.526824806155,109.596096415672,109.104505223216,106.151185486914,108.674869137299,109.671791742744
"Lesotho","LO",293,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",62.7,62.7,62.7,70,75,65,65,67,67,64.522858107589,62.7934033245852,63.6482211882955,66.513145362284,62.1927819787992,60.4584070742045,61.3120405081595,64.1785865769964,59.8619645540657,58.133056416497
"Liechtenstein","LI",289,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,NA,96,96,97,98,98,98,98.1262278091391,100.101645532294,102.724773632876,96.8109208263461,98.1304018108555,100.102526679626,102.724959641509,96.810959925243,98.1304100645117,100.102528421948
"Lithuania","LT",295,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",44.44,48.89,80,91,98,98,99,99.99,99.99,99.280312081544,99.0309764512792,98.7378470932942,99.48904980069,99.2813604975541,99.0312226913207,98.7379049269997,99.489063330104,99.2813636751622,99.0312234376312
"Luxembourg","LX",296,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",90,90,93,96,95,96,97,98,98,98.2705403777406,99.2165120365936,100.577251266893,99.9867911212931,100.82077583742,101.714156128891,103.026837791248,102.392013159905,102.856711902929,103.744038980621
"Macau","MU",310,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",95,95,95,99,99,99,99,99,99,98.6984888827893,99.298998696157,100.804935963807,99.4563841664539,99.1513693472907,99.7518280684046,101.257709610607,99.9090972852027,99.6040174685884,100.204406566501
"Malawi","MW",312,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",0,0,0,6,15.8,30,30,50,64.57,74.7277618010174,82.254976280723,87.5965534897134,96.4532134378782,97.5054913671894,97.8000373283006,97.7159170291554,102.864166214347,101.479690132626,100.240352399259
"Malaysia","MY",314,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",15,15,33,71,88,77.2,79.7,82.2,93.5,94.9495787156151,93.8078389712869,93.6728522719981,99.70952315215,97.1094366456441,95.5951242825133,95.1813843093904,101.004563343748,98.237160395237,96.5891452778284
"Maldives","MA",298,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",11.4,11.4,44,58,80,100,100,100,100,103.089338691651,103.074612122355,102.027479653816,102.418588894065,103.261561348306,103.138304882597,102.051018280938,102.427261971557,103.264765461615,103.139488542564
"Mexico","MX",313,178271,"Percentage of Population Covered by at least a 3G Mobile Network","% of population",9.66,18.43,30,58,58,88.2,88.2,90.75,93.47,94.0440689703004,96.1450103107285,97.8620145066989,91.7537490309493,94.3665388410613,96.443903722578,97.9940726223317,91.8119061573472,94.3921967129075,96.4552212932139
