CountryName,CountryCode,CountryCodeID,ProductID,ProductName,Unit,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2024,Y2025,Y2026,Y2027,Y2028,Y2029,Y2030,Y2031,Y2032,Y2033,Y2034,Y2035,Y2036,Y2037,Y2038,Y2039,Y2040,ColourCode
Iran,IR,271,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,40.83,48,52,59.81,70.03533605,78.39775761,84.90153535,89.1466891,92.37988511,95.08475537,96.60490333,97.5114514,98.07457793,98.43199104,99.32887733,99.39823812,99.45866997,99.51196752,99.55946494,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Israel,IS,272,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47853083,60.1587944,70.97770856,78.70638895,84.03233064,87.64075936,94.32393592,99,99,99,99,99.00214844,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCGGGGCGCCCCCCCCCCCCCCCxxxxxxxxxx
Italy,IT,273,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,8.691299284,19.78367618,31.82669733,42.7289384,52.82727586,62,70,80,98,99,99.7,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Jordan,JO,275,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.335296672,16.91141203,28.75526361,39.9920104,50,70,90,98,99,99,99.12283395,99.22350193,99.30796867,99.38017805,99.44285815,99.49796481,99.54694176,99.59088086,99.63062507,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Japan,JP,276,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,40.96490416,55.14512415,67.57640724,77.13218265,83.21520014,87.55105164,90.54890367,92.66209651,96.87794652,99.9,99.9,99.9,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Sri Lanka,KA,277,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.221010945,11.08297209,21.52062673,34.09397218,44.41719735,55.25627888,64.41493906,72,72,72.85322863,74,81.39219595,87.16087646,90.73454416,93.67699271,96.04707867,97.28894793,98.03043837,98.48497728,98.76823914,99.58908388,99.62899366,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCGGCGCCCCCCCCCCCCCCCxxxxxxxxxx
Kazakhstan,KK,279,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4.801657969,15.51830942,26.99593486,37.88579764,46.44358743,53.23663202,59,59,72.7,80.39060754,86.40928668,90.18155515,93.25941326,95.64841232,96.92596954,97.70585101,98.19537416,99.26942662,99.3470793,99.41401969,99.47253084,99.52427586,99.57049873,99.61215085,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCGGGCCCCCCCCCCCCCCCxxxxxxxxxx
South Korea,KR,280,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36552751,65.88881619,76.18806237,83.62292272,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCGGGGGGGGGCCCCCCCCCCCCCCCxxxxxxxxxx
Kuwait,KW,282,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,38.93820819,53.27903328,64.61114293,72.61155776,79.30361419,85.17029665,89.42437068,92.24760696,94.23287559,95.6267041,96.61499652,98.58665405,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
Kenya,KY,283,178271,Percentage of Population Covered by at least a 3G Mobile Network,% of population,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3.871879266,12.62928199,23.83243053,34.25378772,43.30069322,52.21072106,60.27612406,69,77.53389516,84.32716874,88.64874877,92.15103916,94.91357531,96.40012802,97.30772574,97.88479515,98.26118504,99.15068851,99.24669839,99.32767857,99.3972007,99.45776024,99.51116078,,,,,,,,,,,xxxxxxxxxxxxxxxxxxxxxxxxxxCCCCCCCCCCCCGCCCCCCCCCCCCCCCxxxxxxxxxx
